	mc
WMC1019301	2
WMC1019302	14
WMC1019305	13
WMC1019306	4
WMC1019307	5
WMC1019309	8
WMC1019310	19
WMC1019311	14
WMC1019312	8
WMC1019313	7
WMC1019314	19
WMC1019315	6
WMC1019316	18
WMC1019317	11
WMC1019318	4
WMC1019319	21
WMC1019322	6
WMC1019323	16
WMC1019324	17
WMC1019326	2
WMC1019327	11
WMC1019328	30
WMC1019329	11
WMC1019330	20
WMC1019332	13
WMC1019333	15
WMC1019334	18
WMC1019336	4
WMC1019337	15
WMC1019338	33
WMC1019339	2
WMC1019341	8
WMC1019342	20
WMC1019343	9
WMC1019344	6
WMC1019345	5
WMC1019346	16
WMC1019347	21
WMC1019348	9
WMC1019350	2
WMC1019351	4
WMC1019353	19
WMC1019355	13
WMC1019356	31
WMC1019358	14
WMC1019359	4
WMC1019360	18
WMC1019362	20
WMC1019363	7
WMC1019364	10
WMC1019365	15
WMC1019366	7
WMC1019367	6
WMC1019368	30
WMC1019369	12
WMC1019370	5
WMC1019371	16
WMC1019373	32
WMC1019376	21
WMC1019377	17
WMC1019378	7
WMC1019379	5
WMC1019380	3
WMC1019382	17
WMC1019383	5
WMC1019384	4
WMC1019385	30
WMC1019386	17
WMC1019387	21
WMC1019388	12
WMC1019389	1
WMC1019391	9
WMC1019392	9
WMC1019394	2
WMC1019399	7
WMC1019401	3
WMC1019404	10
WMC1019405	10
WMC1019406	6
WMC1019407	9
WMC1019408	34
WMC1019410	31
WMC1019413	12
WMC1019414	16
WMC1019415	15
WMC1019416	15
WMC1019418	6
WMC1019420	8
WMC1019421	11
WMC1019423	19
WMC1019425	14
WMC1019426	3
WMC1019427	15
WMC1019429	17
WMC1019430	15
WMC1019434	12
WMC1019435	19
WMC1019436	33
WMC1019437	16
WMC1019438	17
WMC1019439	32
WMC1019440	11
WMC1019441	10
WMC1019442	3
WMC1019443	13
WMC1019444	12
WMC1019446	3
WMC1019447	17
WMC1019448	18
WMC1019450	34
WMC1019456	8
WMC1019457	15
WMC1019458	9
WMC1019459	10
WMC1019460	16
WMC1019461	6
WMC1019462	1
WMC1019463	10
WMC1019464	4
WMC1019465	6
WMC1019466	3
WMC1019467	31
WMC1019468	7
WMC1019471	3
WMC1019473	19
WMC1019474	10
WMC1019476	10
WMC1019477	21
WMC1019478	14
WMC1019480	20
WMC1019481	6
WMC1019482	12
WMC1019483	11
WMC1019485	19
WMC1019486	12
WMC1019487	21
WMC1019489	2
WMC1019494	18
WMC1019495	4
WMC1019501	15
WMC1019502	20
WMC1019503	20
WMC1019506	33
WMC1019508	30
WMC1019509	10
WMC1019510	5
WMC1019512	1
WMC1019514	8
WMC1019517	20
WMC1019518	9
WMC1019519	1
WMC1019522	7
WMC1019525	18
WMC1019527	20
WMC1019529	10
WMC1019532	4
WMC1019537	6
WMC1019539	7
WMC1019541	10
WMC1019545	9
WMC1019546	12
WMC1019547	19
WMC1019548	20
WMC1019551	6
WMC1019554	6
WMC1019555	18
WMC1019556	17
WMC1019559	19
WMC1019560	12
WMC1019561	2
WMC1019562	15
WMC1019563	17
WMC1019564	11
WMC1019565	16
WMC1019570	17
WMC1019571	1
WMC1019576	4
WMC1019577	13
WMC1019580	34
WMC1019582	21
WMC1019583	3
WMC1019584	16
WMC1019585	8
WMC1019587	6
WMC1019589	16
WMC1019591	7
WMC1019594	7
WMC1019597	17
WMC1019598	4
WMC1019599	5
WMC1019601	6
WMC1019602	21
WMC1019603	15
WMC1019606	13
WMC1019607	17
WMC1019608	34
WMC1019609	10
WMC1019610	2
WMC1019612	12
WMC1019613	6
WMC1019614	16
WMC1019615	21
WMC1019617	8
WMC1019621	17
WMC1019622	10
WMC1019624	9
WMC1019625	16
WMC1019628	15
WMC1019629	12
WMC1019630	3
WMC1019632	22
WMC1019635	17
WMC1019638	4
WMC1019639	21
WMC1019640	19
WMC1019641	9
WMC1019642	5
WMC1019643	9
WMC1019647	35
WMC1019649	19
WMC1019650	16
WMC1019653	13
WMC1019654	4
