	mc
WMC2373751	46
WMC2373752	122
WMC2373753	103
WMC2373754	94
WMC2373755	113
WMC2373756	68
WMC2373757	57
WMC2373758	98
WMC2373759	119
WMC2373760	114
WMC2373761	56
WMC2373762	68
WMC2373763	86
WMC2373764	116
WMC2373765	101
WMC2373766	60
WMC2373767	48
WMC2373769	119
WMC2373770	68
WMC2373771	69
WMC2373772	1
WMC2373773	107
WMC2373774	104
WMC2373775	70
WMC2373776	119
WMC2373777	63
WMC2373778	111
WMC2373779	1
WMC2373780	40
WMC2373781	85
WMC2373782	73
WMC2373783	101
WMC2373784	65
WMC2373785	103
WMC2373786	71
WMC2373787	82
WMC2373788	76
WMC2373789	49
WMC2373790	116
WMC2373791	119
WMC2373793	1
WMC2373794	121
WMC2373795	101
WMC2373796	82
WMC2373798	70
WMC2373799	65
WMC2373800	101
WMC2373802	114
WMC2373803	78
WMC2373804	119
WMC2373805	94
WMC2373807	112
WMC2373808	108
WMC2373809	101
WMC2373810	105
WMC2373811	88
WMC2373812	98
WMC2373813	101
WMC2373815	5
WMC2373816	95
WMC2373817	56
WMC2373820	98
WMC2373821	52
WMC2373823	90
WMC2373824	119
WMC2373825	96
WMC2373826	101
WMC2373827	97
WMC2373828	71
WMC2373829	72
WMC2373830	109
WMC2373831	41
WMC2373832	103
WMC2373833	79
WMC2373834	49
WMC2373835	90
WMC2373836	94
WMC2373837	94
WMC2373838	108
WMC2373839	5
WMC2373840	69
WMC2373842	85
WMC2373843	104
WMC2373844	77
WMC2373845	68
WMC2373846	78
WMC2373847	56
WMC2373848	118
WMC2373849	101
WMC2373850	59
WMC2373851	112
WMC2373852	61
WMC2373853	104
WMC2373854	86
WMC2373856	103
WMC2373857	101
WMC2373858	61
WMC2373860	94
WMC2373862	119
WMC2373863	122
WMC2373865	86
WMC2373866	61
WMC2373871	109
WMC2373872	85
WMC2373873	104
WMC2373874	103
WMC2373875	69
WMC2373876	113
WMC2373877	69
WMC2373878	78
WMC2373879	120
WMC2373881	113
WMC2373883	99
WMC2373885	117
WMC2373886	105
WMC2373888	64
WMC2373889	73
WMC2373892	89
WMC2373893	69
WMC2373895	116
WMC2373897	78
WMC2373898	121
WMC2373900	101
WMC2373901	103
WMC2373902	48
WMC2373903	1
WMC2373904	111
WMC2373905	50
WMC2373907	81
WMC2373908	114
WMC2373909	111
WMC2373910	85
