Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	Description
AB5009	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3_411
AB5010	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3_412
AB5011	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3_413
AB5012	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD45_414
AB5013	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD45_415
AB5014	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3 & CD45_416
AB5015	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3 & CD45_417
AB5016	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3_418
AB5017	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD45_419
AB5018	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3 & CD45_420
AB5019	SB249	melanoma_B16MEL12 frozen	B16MEL12 frozen_CD3_421
AB5190	SB258	N03LAM 610 frozen_CD3	N03LAM 610 frozen_CD3_422
AB5191	SB258	N03LAM 610 frozen_CD3	N03LAM 610 frozen_CD3_423
AB5192	SB258	N03LAM 610 frozen_CD3	N03LAM 610 frozen_CD3_424
AB5193	SB258	N03LAM 610 frozen_CD3	N03LAM 610 frozen_CD3_425
AB5194	SB258	N03LAM 610 frozen_CD3&CD45	N03LAM 610 frozen_CD3 & CD45_426
AB5195	SB258	N03LAM 610 frozen_CD3&CD45	N03LAM 610 frozen_CD3 & CD45_427
AB5196	SB258	N03LAM 610 frozen_CD3&CD45	N03LAM 610 frozen_CD3 & CD45_428
AB5197	SB258	N03LAM 610 frozen_CD3&CD45	N03LAM 610 frozen_CD3 & CD45_429
AB5198	SB258	N03LAM 610 frozen_CD3	N03LAM 610 frozen_CD3_430
AB5199	SB258	N03LAM 610 frozen_CD3&CD45	N03LAM 610 frozen_CD3 & CD45_431
AB5424	SB271	CFMPB484_MEL007 PBMCs_CCR7+ CD45RA +	CFMPB484_MEL007 PBMCs_CCR7+ CD45RA +_432
AB5425	SB271	CFMPB484_MEL007 PBMCs_CCR7+ CD45RA +	CFMPB484_MEL007 PBMCs_CCR7+ CD45RA +_433
AB5426	SB271	CFMPB484_MEL007 PBMCs_CCR7+ CD45RA +	CFMPB484_MEL007 PBMCs_CCR7+ CD45RA +_434
AB5427	SB271	CFMPB484_MEL007 PBMCs_CD3	CFMPB484_MEL007 PBMCs_CD3_435
AB5428	SB271	CFMPB484_MEL007 PBMCs_CD45	CFMPB484_MEL007 PBMCs_CD45_436
AB5429	SB271	CFMPB484_MEL007 PBMCs_CD3 & CD45	CFMPB484_MEL007 PBMCs_CD3 & CD45_437
AB5490	SB275	B16MEL_12 PBMCs_CD3	B16MEL_12 PBMCs_CD3_451
AB5491	SB275	B16MEL_12 PBMCs_CD3 & CD45	B16MEL_12 PBMCs_CD3 & CD45_452
AB5492	SB275	B16MEL_12 PBMCs_CCR7+ CD45RA+	B16MEL_12 PBMCs_CCR7+ CD45RA+_453
AB5493	SB275	B16MEL_12 PBMCs_CD45	B16MEL_12 PBMCs_CD45_454
AB5494	SB275	B16MEL_12 PBMCs_CD3	B16MEL_12 PBMCs_CD3_455
