	mc
WMC2373751	211
WMC2373752	199
WMC2373753	99
WMC2373754	164
WMC2373755	190
WMC2373756	192
WMC2373757	123
WMC2373758	170
WMC2373759	181
WMC2373760	86
WMC2373761	81
WMC2373762	86
WMC2373763	161
WMC2373764	193
WMC2373765	173
WMC2373766	191
WMC2373767	101
WMC2373769	193
WMC2373770	199
WMC2373771	183
WMC2373772	160
WMC2373773	212
WMC2373774	168
WMC2373775	199
WMC2373776	158
WMC2373777	110
WMC2373778	180
WMC2373779	166
WMC2373780	121
WMC2373781	81
WMC2373782	77
WMC2373783	118
WMC2373784	74
WMC2373785	168
WMC2373786	198
WMC2373787	116
WMC2373788	185
WMC2373789	73
WMC2373790	175
WMC2373791	191
WMC2373793	158
WMC2373794	176
WMC2373795	162
WMC2373796	195
WMC2373798	198
WMC2373799	171
WMC2373800	162
WMC2373802	88
WMC2373803	84
WMC2373804	171
WMC2373805	211
WMC2373807	192
WMC2373808	136
WMC2373809	169
WMC2373810	169
WMC2373811	135
WMC2373812	166
WMC2373813	163
WMC2373815	8
WMC2373816	166
WMC2373817	168
WMC2373820	194
WMC2373821	143
WMC2373823	91
WMC2373824	166
WMC2373825	169
WMC2373826	164
WMC2373827	163
WMC2373828	218
WMC2373829	167
WMC2373830	195
WMC2373831	172
WMC2373832	197
WMC2373833	174
WMC2373834	181
WMC2373835	199
WMC2373836	193
WMC2373837	183
WMC2373838	190
WMC2373839	8
WMC2373840	218
WMC2373842	217
WMC2373843	170
WMC2373844	173
WMC2373845	199
WMC2373846	210
WMC2373847	81
WMC2373848	190
WMC2373849	162
WMC2373850	92
WMC2373851	175
WMC2373852	136
WMC2373853	173
WMC2373854	171
WMC2373856	169
WMC2373857	163
WMC2373858	203
WMC2373860	199
WMC2373862	176
WMC2373863	161
WMC2373865	191
WMC2373866	132
WMC2373871	171
WMC2373872	190
WMC2373873	164
WMC2373874	181
WMC2373875	129
WMC2373876	193
WMC2373877	101
WMC2373878	179
WMC2373879	195
WMC2373881	191
WMC2373883	101
WMC2373885	181
WMC2373886	170
WMC2373888	158
WMC2373889	176
WMC2373892	77
WMC2373893	170
WMC2373895	175
WMC2373897	95
WMC2373898	190
WMC2373900	170
WMC2373901	170
WMC2373902	96
WMC2373903	158
WMC2373904	113
WMC2373905	98
WMC2373907	199
WMC2373908	189
WMC2373909	77
WMC2373910	136
WMC2373911	184
WMC2373913	107
WMC2373914	172
WMC2373915	108
WMC2373916	184
WMC2373918	73
WMC2373919	196
WMC2373920	201
WMC2373923	164
WMC2373924	151
WMC2373925	199
WMC2373926	159
WMC2373927	175
WMC2373928	98
WMC2373929	169
WMC2373931	162
WMC2373932	164
WMC2373933	162
WMC2373934	88
WMC2373936	84
WMC2373937	159
WMC2373938	164
WMC2373940	179
WMC2373941	107
WMC2373942	158
WMC2373944	136
WMC2373945	162
WMC2373946	189
WMC2373947	214
WMC2373948	213
WMC2373949	164
WMC2373951	191
WMC2373952	189
WMC2373954	195
WMC2373955	174
WMC2373958	164
WMC2373959	164
WMC2373961	183
WMC2373962	171
WMC2373963	159
WMC2373964	163
WMC2373966	169
WMC2373967	182
WMC2373968	193
WMC2373969	184
WMC2373970	169
WMC2373971	73
WMC2373972	166
WMC2373974	90
WMC2373975	195
WMC2373977	183
WMC2373978	167
WMC2373979	175
WMC2373980	160
WMC2373981	176
WMC2373982	111
WMC2373983	177
WMC2373985	185
WMC2373986	197
WMC2373988	210
WMC2373989	191
WMC2373991	158
WMC2373992	169
WMC2373993	169
WMC2373994	189
WMC2373996	218
WMC2373997	111
WMC2373998	177
WMC2373999	190
WMC2374000	170
WMC2374001	90
WMC2374002	164
WMC2374003	191
WMC2374005	158
WMC2374006	168
WMC2374007	92
WMC2374008	160
WMC2374009	196
WMC2374012	209
WMC2374013	186
WMC2374014	124
WMC2374015	105
WMC2374016	170
WMC2374017	169
WMC2374019	181
WMC2374020	135
WMC2374021	163
WMC2374022	170
WMC2374023	162
WMC2374024	164
WMC2374025	216
WMC2374026	158
WMC2374027	110
WMC2374028	201
WMC2374029	176
WMC2374030	81
WMC2374031	189
WMC2374032	73
WMC2374033	183
WMC2374034	162
WMC2374035	76
WMC2374036	133
WMC2374038	174
