	x
Rnase6	1
Rnf115	1
Rnf213	1
Rrbp1	1
S100a10	1
S100a11	1
S100a4	1
S100a6	1
S100a8	1
S100a9	1
S1pr1	1
Samhd1	1
Samsn1	1
Sdf4	1
Selenop	1
Sell	1
Selplg	1
Serpina3g	1
Serpinb1a	1
Serpinb6b	1
Serpinb9	1
Sh3kbp1	1
Shisa5	1
Siglech	1
Sirpa	1
Slamf6	1
Slamf7	1
Slfn5	1
Slpi	1
Smc4	1
Socs2	1
Sostdc1	1
Sparc	1
Spp1	1
Srgn	1
Stat1	1
Syngr2	1
Tagln2	1
Tapbp	1
Tbc1d4	1
Tcf4	1
Tcf7	1
Tgfbi	1
Tgm2	1
Thy1	1
Timp2	1
Timp3	1
Tlr9	1
Tmem123	1
Tmem176a	1
Tmem176b	1
Tmsb4x	1
Tnfaip3	1
Tnfrsf4	1
Tnfrsf9	1
Tpi1	1
Trac	1
Traf1	1
Trbc1	1
Trbc2	1
Trdc	1
Trim30a	1
Tsc22d1	1
Tspan13	1
Tspan3	1
Tspo	1
Ttc3	1
Tuba1a	1
Txn1	1
Txndc17	1
Txnip	1
Tyrobp	1
Tyrp1	1
Unc93b1	1
Vim	1
Wfdc17	1
Xbp1	1
Xcl1	1
Xcr1	1
Ybx3	1
Zap70	1
Zfp36	1
Zfp36l1	1
Zmynd15	1
Zyx	1
Tigit	1
Btla	1
Tiam1	1
