	mc
WMC3415735	31
WMC3415736	5
WMC3415738	37
WMC3415739	49
WMC3415743	29
WMC3415745	17
WMC3415747	12
WMC3415751	15
WMC3415753	40
WMC3415755	40
WMC3415760	47
WMC3415761	26
WMC3415762	39
WMC3415763	31
WMC3415764	36
WMC3415765	44
WMC3415767	18
WMC3415769	53
WMC3415770	28
WMC3415771	31
WMC3415773	15
WMC3415777	11
WMC3415779	39
WMC3415780	30
WMC3415781	1
WMC3415783	37
WMC3415785	30
WMC3415787	33
WMC3415788	34
WMC3415789	39
WMC3415790	38
WMC3415791	25
WMC3415793	15
WMC3415794	37
WMC3415795	40
WMC3415796	41
WMC3415797	40
WMC3415799	38
WMC3415801	10
WMC3415802	46
WMC3415804	38
WMC3415806	37
WMC3415808	42
WMC3415812	23
WMC3415813	38
WMC3415814	38
WMC3415815	26
WMC3415818	32
WMC3415819	24
WMC3415820	16
WMC3415821	23
WMC3415824	39
WMC3415826	13
WMC3415827	38
WMC3415828	35
WMC3415829	32
WMC3415833	39
WMC3415839	45
WMC3415840	48
WMC3415844	11
WMC3415850	37
WMC3415853	25
WMC3415854	30
WMC3415855	4
WMC3415859	37
WMC3415860	27
WMC3415861	23
WMC3415863	40
WMC3415864	17
WMC3415865	33
WMC3415867	4
WMC3415868	33
WMC3415869	36
WMC3415870	7
WMC3415871	45
WMC3415872	50
WMC3415875	36
WMC3415876	35
WMC3415878	39
WMC3415881	33
WMC3415883	39
WMC3415884	33
WMC3415885	43
WMC3415886	44
WMC3415888	42
WMC3415891	39
WMC3415892	40
WMC3415893	41
WMC3415894	37
WMC3415895	40
WMC3415899	6
WMC3415900	39
WMC3415901	44
WMC3415902	41
WMC3415903	47
WMC3415905	43
WMC3415906	2
WMC3415907	31
WMC3415908	23
WMC3415909	13
WMC3415910	23
WMC3415911	23
WMC3415912	35
WMC3415914	31
WMC3415915	45
WMC3415916	42
WMC3415917	44
WMC3415918	37
WMC3415919	38
WMC3415921	31
WMC3415922	47
WMC3415923	20
WMC3415924	37
WMC3415925	17
WMC3415926	40
WMC3415927	34
WMC3415929	34
WMC3415930	39
WMC3415931	9
WMC3415932	31
WMC3415933	47
WMC3415935	27
WMC3415936	16
WMC3415940	28
WMC3415942	22
WMC3415945	32
WMC3415949	30
WMC3415950	29
WMC3415951	31
WMC3415952	25
WMC3415956	47
WMC3415959	37
WMC3415960	19
WMC3415962	50
WMC3415963	36
WMC3415964	42
WMC3415965	40
WMC3415967	47
WMC3415968	38
WMC3415970	40
WMC3415974	3
WMC3415975	21
WMC3415976	44
WMC3415983	37
WMC3415984	43
WMC3415985	40
WMC3415989	45
WMC3415991	41
WMC3415994	31
WMC3415999	37
WMC3416000	31
WMC3416002	25
WMC3416003	40
WMC3416005	7
WMC3416006	43
WMC3416007	30
WMC3416012	23
WMC3416013	20
WMC3416014	8
WMC3416015	23
WMC3416018	34
WMC3416020	41
WMC3416024	31
WMC3416026	5
WMC3416028	35
WMC3416031	23
WMC3416032	20
